ztfname host_ra host_dec sn_ra sn_dec
ZTF18abcpolh 226.99712 1.23173 226.99415 1.23240
ZTF18abcrtnq 198.89194 28.34149 198.89288 28.34285
ZTF18abcrxoj 239.26126 37.41670 239.25966 37.41704
ZTF18abcryxz 181.14971 12.55673 181.14974 12.55681
ZTF18abcrzfz 192.86460 20.60633 192.86441 20.60633
ZTF18abcsgvj 266.10281 55.17492 266.10261 55.17544
ZTF18abcvush 256.68358 18.35711 256.68328 18.35699
ZTF18abcxyjp 214.57714 28.96830 214.57502 28.97328
ZTF18abcyilc 184.04885 68.55855 184.04900 68.55837
ZTF18abcysdx 272.98756 30.04546 272.98886 30.04539
ZTF18abdbuty 253.19782 51.56367 253.19730 51.56350
ZTF18abdcfgz 191.61731 77.28179 191.62572 77.28102
ZTF18abdcudb 294.97038 47.93678 294.97055 47.93674
ZTF18abddmrf 226.96781 38.04899 226.96727 38.04846
ZTF18abddrhd 241.26715 36.09448 241.26733 36.09408
ZTF18abdefet 266.07427 68.02883 266.07556 68.02912
ZTF18abdfaqi 223.49390 26.00158 223.49302 26.00195
ZTF18abdfazk 216.98074 40.97440 216.98016 40.97432
ZTF18abdfwur 245.17982 65.63916 245.17972 65.63915
ZTF18abdfydj 255.59373 57.75108 255.59398 57.75152
ZTF18abdgwxn 261.42182 23.87052 261.42291 23.86912
ZTF18abdhsfc 257.91906 79.64403 257.91856 79.64367
ZTF18abdiqdh 184.68473 44.78117 184.68360 44.78202
ZTF18abdiwpt 213.07788 62.64262 213.07606 62.64304
ZTF18abdkimx 247.79524 60.59771 247.79591 60.59771
ZTF18abdmgab 270.00000 -80.00000 250.90230 33.53363
ZTF18abdpvnd 348.52241 29.63290 348.52260 29.63341
ZTF18abdrbok 213.61865 23.00834 213.61859 23.00799
ZTF18abdrmin 222.02582 63.21659 222.02355 63.21670
ZTF18abeaipj 260.03728 9.49219 260.03722 9.49234
ZTF18abealop 240.93421 54.30354 240.93508 54.30404
ZTF18abebzog 308.07721 58.20012 308.07771 58.19852
ZTF18abeecwe 268.21135 21.38209 268.21064 21.38260
ZTF18abeegsl 284.31566 46.50134 284.31797 46.49913
ZTF18abespgb 216.80338 16.86281 216.80328 16.86270
ZTF18abetehf 233.48636 31.16913 233.48716 31.16982
ZTF18abetejo 208.64356 42.77438 208.64385 42.77453
ZTF18abetewu 217.30900 46.05086 217.30902 46.05091
ZTF18abfdupq 297.70039 64.92301 297.70033 64.92303
ZTF18abfgygp 274.33996 54.53753 274.33948 54.53737
ZTF18abfhaji 263.81022 54.24635 263.80929 54.24693
ZTF18abfhryc 284.97919 72.26586 284.98996 72.26730
ZTF18abfwuwn 251.42983 37.89181 251.42820 37.89052
ZTF18abfxgys 314.02682 9.32649 314.02633 9.32719
ZTF18abfzkno 258.12890 26.01857 258.12890 26.01862
ZTF18abgkjff 227.66607 8.57163 227.66864 8.57434
ZTF18abgledy 236.42415 11.95355 236.42345 11.95283
ZTF18abglpdy 245.95882 41.62143 245.95889 41.62139
ZTF18abgmcmv 274.05934 55.59092 274.05449 55.59088
ZTF18abgosbg 287.16788 78.47849 287.16898 78.47763
ZTF18abgqkpc 217.54076 55.88622 217.54105 55.88635
ZTF18abgxvra 266.18346 38.16181 266.18454 38.16401
ZTF18abhbfqf 199.00072 69.62349 199.00100 69.62336
ZTF18abhbqbh 231.92249 69.82881 231.92231 69.82870
ZTF18abhgrff 223.11580 67.45489 223.11597 67.45491
ZTF18abhhxcp 262.75810 71.86801 262.75792 71.86809
ZTF18abhpgje 277.67805 54.63431 277.67815 54.63448
ZTF18abhpzig 307.14619 25.73324 307.14822 25.73574
ZTF18abhqdpv 339.33811 22.37987 339.33794 22.37964
ZTF18abhxidv 275.77066 27.47103 275.77082 27.47098
ZTF18abifioh 249.46557 24.88306 249.46544 24.88308
ZTF18abiinnl 330.17340 19.66681 330.17377 19.66612
ZTF18abiirfq 185.65341 47.96912 185.65345 47.96923
ZTF18abilofa 338.78404 17.38960 338.78493 17.38906
ZTF18abimsyv 274.79985 54.08802 274.79922 54.08871
ZTF18abixjey 227.63348 45.22735 227.63307 45.22728
ZTF18abixkdo 243.95232 19.66230 243.95212 19.65707
ZTF18abixkjh 232.58791 27.62913 232.58846 27.62951
ZTF18abixrei 231.28941 31.74175 231.28963 31.74173
ZTF18abiybfq 293.03016 0.37817 293.03020 0.37884
ZTF18abjdjge 224.69683 44.67068 224.69375 44.67061
ZTF18abjgyyr 309.91684 13.13659 309.91643 13.13575
ZTF18abjijwk 198.17990 74.19458 198.18075 74.19434
ZTF18abjqmqt 316.54012 70.35182 316.54007 70.35235
ZTF18abjrfqx 332.09606 11.37953 332.09743 11.37930
ZTF18abjrznx 221.29068 9.27467 221.29055 9.27351
ZTF18abjstcm 284.71874 69.01338 284.71867 69.01339
ZTF18abjtgdo 226.09754 61.62120 226.09823 61.62145
ZTF18abjtger 234.22020 66.05794 234.22139 66.05826
ZTF18abjvhec 226.37886 30.91080 226.37671 30.91024
ZTF18abjvzxx 240.27200 11.94372 240.27270 11.94419
ZTF18abjwahi 240.01477 23.38094 240.01493 23.38072
ZTF18abjyime 237.77639 8.97528 237.77638 8.97545
ZTF18abkhbra 221.37684 17.25830 221.37665 17.25832
ZTF18abkhcrj 256.65141 24.54537 256.65138 24.54540
ZTF18abkhcwl 236.53127 29.73305 236.52955 29.73351
ZTF18abkhdxe 277.84147 63.74135 277.84327 63.74150
ZTF18abkifng 242.47075 65.93845 242.47015 65.93837
ZTF18abkigee 245.87172 28.83302 245.87169 28.83304
ZTF18abklaoj 223.38716 3.07730 223.38459 3.07049
ZTF18abklljv 226.91578 38.46270 226.91559 38.46264
ZTF18abktphg 340.26227 20.72552 340.26157 20.72549
ZTF18abkudjo 227.06134 34.86906 227.06056 34.86825
ZTF18abkxlcz 285.85000 51.73647 285.85022 51.73652
ZTF18ablhvfr 235.04481 61.52945 235.04606 61.53001
ZTF18ablmflp 211.09332 60.02691 211.09664 60.02444
ZTF18ablongw 262.67835 62.83150 262.67806 62.83111
ZTF18ablqhqx 206.72808 32.44325 206.72745 32.44285
ZTF18ablqjul 226.91305 38.21364 226.91301 38.21361
ZTF18ablqkba 244.82882 36.49097 244.82869 36.49034
ZTF18ablqkud 249.41639 25.31995 249.41656 25.32095
ZTF18ablqlzp 234.13470 41.79929 234.13327 41.79985
ZTF18ablqqqp 253.12959 23.38379 253.13012 23.38347
ZTF18ablrljh 248.84386 22.46843 248.84392 22.46842
ZTF18ablsztl 270.00000 -80.00000 228.20494 56.25922
ZTF18abltaxf 223.65811 69.64669 223.65461 69.64855
ZTF18abltdfj 246.30334 40.84207 246.30211 40.84035
ZTF18abltdkd 243.58539 3.23263 243.58622 3.23196
ZTF18ablvime 1.75536 33.18302 1.75524 33.18288
ZTF18ablwgop 338.39890 41.78389 338.39737 41.78316
ZTF18ablwrmh 287.22674 67.81145 287.22649 67.81136
ZTF18ablwtkf 279.46542 51.83847 279.46627 51.83808
ZTF18abmaewl 321.83180 15.77625 321.83242 15.77667
ZTF18abmjcbs 331.73804 51.40606 331.73667 51.40727
ZTF18abmjvpb 239.55503 19.76669 239.54873 19.76521
ZTF18abmjvuf 230.30653 30.63697 230.30983 30.63659
ZTF18abmjyvo 244.92546 50.54963 244.93421 50.55184
ZTF18abmkaps 254.61777 11.47722 254.61680 11.47663
ZTF18abmmdif 270.14589 61.69617 270.14654 61.69770
ZTF18abmmkaz 273.82594 29.90987 273.82726 29.91074
ZTF18abmmrgm 290.05427 73.73745 290.05789 73.73871
ZTF18abmnrgb 324.72039 31.73851 324.72121 31.73749
ZTF18abmogag 13.30365 20.71476 13.30422 20.71465
ZTF18abmoung 225.93777 61.56738 225.93800 61.56790
ZTF18abmrhom 325.04727 21.55846 325.04708 21.55844
ZTF18abmwnov 3.75847 34.80834 3.75768 34.81142
ZTF18abmwpyl 354.36206 21.90641 354.36195 21.90344
ZTF18abmwzpt 253.82420 32.86547 253.82419 32.86543
ZTF18abmxahs 257.54612 21.64959 257.54659 21.64904
ZTF18abmxdhb 251.37433 65.23912 251.37439 65.23891
ZTF18abmxfrc 252.75334 25.87635 252.75349 25.87594
ZTF18abmxmsv 282.07870 30.60665 282.07954 30.60705
ZTF18abncdhd 349.21574 41.06041 349.21594 41.05931
ZTF18abncimo 336.90362 22.89524 336.90344 22.89533
ZTF18abnonwz 195.30080 39.75560 195.30266 39.75644
ZTF18abntsgz 328.65017 18.11480 328.65213 18.11556
ZTF18abnucig 293.41160 39.39038 293.41666 39.38928
ZTF18abnvnqb 267.42882 54.39919 267.42858 54.39924
ZTF18abnvoel 260.81232 77.84403 260.81390 77.84487
ZTF18abnxhmc 329.75840 11.10126 329.75753 11.10368
ZTF18abnygkb 328.50009 8.11503 328.50002 8.11472
ZTF18abnysyy 350.62324 37.23186 350.62310 37.23212
ZTF18abnzocn 41.03676 37.52948 41.02963 37.52431
ZTF18aboaeqy 242.67630 42.59404 242.67677 42.59403
ZTF18abobkii 243.69569 43.30526 243.69566 43.30524
ZTF18aboebsg 19.88428 -18.17393 19.88455 -18.17342
ZTF18abokpvh 274.03353 70.01786 274.03103 70.01791
ZTF18abolvoh 343.54767 5.06377 343.54879 5.06410
ZTF18abomklq 356.11494 5.66386 356.11443 5.66366
ZTF18aboqykf 296.41977 66.50560 296.42058 66.50825
ZTF18abosrco 352.47238 27.37961 352.47174 27.37802
ZTF18abotcjv 26.03480 7.97692 26.03450 7.97704
ZTF18abotdef 30.31705 -1.22399 30.31707 -1.22404
ZTF18aboztku 243.42318 10.65861 243.42315 10.65861
ZTF18aboztta 246.44471 20.42596 246.44487 20.42578
ZTF18abpamut 234.51351 51.36016 234.51257 51.36034
ZTF18abpaywm 277.88845 49.81704 277.88943 49.81618
ZTF18abpmmpo 251.97713 42.96842 251.97746 42.96885
ZTF18abptsco 261.71413 34.24662 261.71422 34.24658
ZTF18abpttky 258.56039 36.45889 258.56041 36.45897
ZTF18abqapch 7.04365 37.25989 7.04336 37.26033
ZTF18abqbavl 255.87283 41.64480 255.87383 41.64525
ZTF18abqdadp 241.76326 15.59311 241.76266 15.59578
