ztfname,ra,dec
ZTF21abxlpkc,14.4400671,8.7529191
ZTF19acryaon,14.4552568,-17.641003
ZTF21acjeegy,14.4806747,-5.1318074
ZTF19abrirmk,14.5250182,-15.5585708
ZTF20abvowvw,14.6345799,-2.833894
ZTF19acxzmck,14.6629133,-9.1971454
ZTF22abizgac,14.6875037,15.7394823
ZTF20aciigcw,14.7093544,12.9400486
ZTF18accjecm,14.8831219,12.7516259
ZTF19abrmlxu,14.9736308,2.9090223
ZTF20acpkprl,14.9744193,-17.2640448
ZTF21abrpkzp,15.0415235,9.9911779
ZTF21acqjwep,15.0685005,-15.2982871
ZTF19aboqpry,15.1002998,13.5405961
ZTF19abzprpk,15.1273205,25.5943008
ZTF22aaskqie,15.1537108,12.4851325
ZTF21abtxglm,15.1877796,-21.43222
ZTF21abrddfm,15.1888974,-16.7886905
ZTF20aceqoer,15.257849,21.1993381
ZTF19acyksfd,15.280747,8.1530576
ZTF22abboovp,15.2867249,0.0387644
ZTF20achaxvo,15.2902317,-15.251265
ZTF21acilvjb,15.3316781,15.294628
ZTF22abfyyew,15.3897742,-19.8125269
ZTF21aceoaqe,15.4295168,-13.6703668
ZTF20abmsppe,15.5270318,-19.4548797
ZTF21acgzwsc,15.5297412,35.7509072
ZTF22abzsylr,15.5507931,-20.6224586
ZTF20acbeanu,15.6202833,-12.7999434
ZTF18acbudzo,15.6598925,-6.3927121
ZTF18abwitkf,15.7053375,-21.8364517
ZTF18acsxvrp,15.7651944,27.4705786
ZTF22abdtcki,15.8182966,-10.2383852
ZTF22abdfjjo,15.8341376,28.7138745
ZTF21abzadod,15.8798508,28.4405599
ZTF22aasthma,15.8920813,-0.35502
ZTF18acaeous,15.91358,-9.2417187
ZTF19acngsnb,15.9174338,1.0546492
ZTF18acrcetn,15.9512736,10.5923423
ZTF19abgqwed,16.099398,-0.9710722
ZTF21abprzfg,16.0999621,-13.3613391
ZTF21acfgjiw,16.1393476,15.7858014
ZTF19abxiqqm,16.1591913,71.9659742
ZTF18abuhzfc,16.1617921,-4.2581599
ZTF21abicgai,16.2314574,13.0923721
ZTF19acngsnc,16.297780699999997,1.1716422
ZTF22aayjzmc,16.3515147,-2.3124747
ZTF21acchwaw,16.3715281,41.0158514
ZTF21abmyuhl,16.3940711,20.5470678
ZTF18abtlrqh,16.4088459,29.4974086
ZTF18abpdcuf,16.4271469,7.5487318
